pk,nombre,descripcion-entidad,horario,equipamiento,transporte,descripcion,accesibilidad,content-url,nombre-via,clase-vial,tipo-num,num,planta,puerta,escaleras,orientacion,localidad,provincia,codigo-postal,cod-barrio,barrio,cod-distrito,distrito,coordenada-x,coordenada-y,latitud,longitud,telefono,fax,email,tipo,fecha_extraccion,distancia_centro_km
13467,Aparcamiento p�blico. Las Cortes,,,,,Plazas: 480 Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42c77339ae51c010VgnVCM2000000c205a0aRCRD,CORTES,PLAZA,V,13.0,,,,,MADRID,MADRID,28014,3,CORTES,1,CENTRO,441009,4474126,40.41567209145918,-3.695312097854121,,,,/contenido/entidadesYorganismos/AparcamientosPublicos,2025-10-26 18:15:32.998363+00:00,0.7294382447959445
13474,Aparcamiento p�blico. Plaza del Rey,,,,,Plazas: 170  Informaci�n sobre accesibilidad:   Si tiene escaleras adaptadas 1 ascensor 3 aseos accesibles (uno por planta): 8 Plaza para minusv�lidos residentes: 16  Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4f881eb5f51c010VgnVCM2000000c205a0aRCRD,REY,PLAZA,V,1.0,,,,,MADRID,MADRID,28004,4,JUSTICIA,1,CENTRO,440971,4474630,40.4202104053746,-3.69580666702734,915 225 219,,,/contenido/entidadesYorganismos/AparcamientosPublicos,2025-10-26 18:15:32.998363+00:00,0.7756980174056753
13451,Aparcamiento p�blico. Mostenses,,,,,Plazas: 361  Informaci�n sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusv�lidos residentes: 16   Abierto 24 horas   Admite Tarjeta BonoRed    Titularidad: Ayuntamiento de Madrid,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe0881eb5f51c010VgnVCM2000000c205a0aRCRD,GARCIA MOLINAS,CALLE,V,4.0,,,,,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439868,4474918,40.4227275539507,-3.70883461506948,902 283 080,,,/contenido/entidadesYorganismos/AparcamientosPublicos,2025-10-26 18:15:32.998363+00:00,0.7849071867056737
13463,Aparcamiento p�blico. Plaza de Espa�a,,,,,Plazas: 800 (hasta 535 abonados) Abierto 24 horas    Titularidad: Ayuntamiento de Madrid  Gesti�n: Empresa Municipal de Transportes (EMT) (m�s informaci�n),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb977339ae51c010VgnVCM2000000c205a0aRCRD,ESPA�A,PLAZA,V,1.0,,,,,MADRID,MADRID,28008,1,PALACIO,1,CENTRO,439641,4475037,40.4237811996075,-3.71152321262521,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.014915506662162
183747,Aparcamiento mixto. Casino de la Reina,,,,,Plazas: 135 p�blicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD,CASINO,CALLE,V,3.0,,,,,MADRID,MADRID,28005,2,EMBAJADORES,1,CENTRO,440274,4473180,40.40709468568204,-3.7038875277131456,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.079207156204693
13470,Aparcamiento mixto. Arquitecto Ribera,,,,,Plazas: 318 p�blicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD,BARCELO,CALLE,V,2.0,,,,,MADRID,MADRID,28004,4,JUSTICIA,1,CENTRO,440589,4475306,40.426273740022,-3.70037418702346,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.0926206693276175
13465,Aparcamiento mixto. Montalb�n,,,,,Plazas:   146 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gesti�n: Empresa Municipal de Transportes (EMT) (m�s informaci�n),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD,MONTALBAN,CALLE,V,4.0,OT,AN,S,,MADRID,MADRID,28014,5,LOS JERONIMOS,3,RETIRO,441381,4474402,40.4181859174944,-3.69095813503217,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.0980243866966408
13476,Aparcamiento mixto. Recoletos,,,,,Plazas: 102 p�blicas y 289 para residentes  Informaci�n sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusv�lidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gesti�n: Empresa Municipal de Transportes (EMT) (m�s informaci�n),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=283f15cbed51c010VgnVCM2000000c205a0aRCRD,RECOLETOS,PASEO,V,4.0,,,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441309,4474759,40.421397488495096,-3.691841269615146,,,aparcamientos@emtmadrid.es,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.1341220733227806
13478,Aparcamiento p�blico. Glorieta Puerta de Toledo,,,,,Plazas: 240 Abierto 24 horas  Titularidad: Subdirecci�n General de Patrimonio - Comunidad de Madrid  Tel�fonos: Servicio de informaci�n de la Comunidad de Madrid:                    012                    91 580 42 60  (desde fuera de la Comunidad de Madrid),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f477339ae51c010VgnVCM2000000c205a0aRCRD,PUERTA DE TOLEDO,GLORIETA,V,,,,,,MADRID,MADRID,28005,2,EMBAJADORES,1,CENTRO,439754,4473216,40.407386591674,-3.71001515747525,,,,/contenido/entidadesYorganismos/AparcamientosPublicos,2025-10-26 18:15:32.998363+00:00,1.171544273097836
19053,Aparcamiento mixto. S�nchez Bustillo,,,,,Plazas: 131 p�blicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27912c798651c010VgnVCM2000000c205a0aRCRD,SANCHEZ BUSTILLO,CALLE,V,,,,,,MADRID,MADRID,28012,2,EMBAJADORES,1,CENTRO,441130,4473369,40.40885884341386,-3.693821482712085,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.2220575948380086
13453,Aparcamiento p�blico. Villa de Par�s,,,,,Plazas rotaci�n: 169  Plazas motos: 2   Informaci�n sobre accesibilidad:   No tiene escaleras adaptadas No disponde de ascensor 1 aseo accesible Plaza para minusv�lidos residentes: 13   Abierto 24 horas       Titularidad: Ayuntamiento de Madrid  Gesti�n: Empresa Municipal de Transportes (EMT) (m�s informaci�n),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38a881eb5f51c010VgnVCM2000000c205a0aRCRD,VILLA DE PARIS,PLAZA,V,1.0,,,,,MADRID,MADRID,28004,4,JUSTICIA,1,CENTRO,441265,4475176,40.4251485828521,-3.69239569495104,,,,/contenido/entidadesYorganismos/AparcamientosPublicos,2025-10-26 18:15:32.998363+00:00,1.3393236146626137
13462,Aparcamiento mixto. Fuencarral,,,,,"Plazas: 410 p�blicas y 111 para residentes  Informaci�n sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusv�lidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=987e15cbed51c010VgnVCM2000000c205a0aRCRD,FUENCARRAL,CALLE,V,121.0,,,,,MADRID,MADRID,28010,3,TRAFALGAR,7,CHAMBERI,440387,4475680,40.4296270729669,-3.70279096159205,"Centralita EMT 914 068 810 ----                                                      
Aparcamiento      915 911 200",,aparcamientos@emtmadrid.es,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.4288607137274556
7417052,Aparcamiento mixto. Serrano III,,,,,Plazas: 261 p�blicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD,SERRANO,CALLE,V,2.0,,,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441497,4475094,40.4244268291578,-3.68965177313431,,,,/contenido/entidadesYorganismos/AparcamientosResidentes,2025-10-26 18:15:32.998363+00:00,1.4675433971257539
